pdf,page,category,confidence,text
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",1,installation,0.2,"VS 22 LOW cod.43992 rev.2 I.N. 06/06/2024 USE, MAINTENANCE AND INSTALLATION MANUAL GB Model S/N Code"
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",2,installation,0.625,"VS 22 LOW - 2 GB GB PACKAGING, TRANSPORT, STORAGE, LIFTING AND HANDLING .............................................................3 DEFINITIONS USED ................................................4 PRELIMINARY PRESCRIPTIONS .............................6 1 GENERAL INFORMATIONS ...................................7 1.1 C ONFORM USE .......................................................7 1.2 R ESIDUAL RISKS .....................................................7 1.3 S AFETY SIMBOLS .....................................................8 1.4 SYMBOLS ON THE GENERATOR GROUP ...........................9 1.5 S AFETY LABEL INFORMATIONS ....................................10 1.6 R EFERENCE DOCUMENTS .........................................14 1.7 REFERENCE REGULATIONS AND LEGISLATIVE PROVISIONS...14 1.8 M ARKING ............................................................14 1.9 IDENTIFICATION OF THE GENERATOR UNIT ......................14 2 GENERAL CHARACTERISTICS .........................15 2.1 COMPOSITION OF GENERATOR UNIT .............................15 2.2 TECHNICAL CHARACTERISTICS TABLE ...........................17 3 INST ALLATION .................................................18 3.1 GENERATOR HOUSING CHARACTERISTICS ......................19 3.2 L IFTI NG .............................................................19 3.3 ANCHORING THE GENERATOR ....................................19 3.4 V ENTILATION ........................................................20 3.5 C OOLING W ATER CIRCUIT ........................................20 3.5.1 SEAWATER FEED SYSTEM .......................................21 3.5.2 C OMPONENTS ....................................................22 3.5.3 TYPICAL I NSTALLATIONS .......................................23 3.5.4 E XHAUST SYSTEM ................................................27 3.6 F"
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",2,maintenance_service,0.3636,UEL C IRCUIT .....................................................28 3.6.1 F UEL FILTER .....................................................28 3.6.2 E LECTRIC P UMP ...............................................28 3.7 E LECTRICAL CONNECTIONS ......................................29 3.7.1 B ATTERY C ONNECTION .........................................29 3.7.2 C ONNECTION TO G ROUND ...................................30 3.7.3 A.C. CONNECTION ...........................................30 3.7.4 GENERATOR - NETWORK SWITCHING .......................31 3.7.5 E MERGENCY STOP .............................................31 3.7.6 E NGINE CONTROL MODULE ...................................32 3.7.7 I NVERTER BOARD ...............................................32 3.7.8 PARALLEL CONNECTION CABLE ..............................33 4 USING THE GENERATOR ..................................34 4.1 P RELIMINARY CHECKS ...........................................34 4.2 STARTING THE GENERATOR .......................................35 4.3 STOPPING THE GENERATING SET ................................35 4.4 E MERGENCY STOP .................................................36 5 PROTECTIONS AND WARNING SIGNALS ............37 5.1 CBU E VO CONTROLLER MODULE ................................37 5.2 PROTECTION AGAINST SHORT-CIRCUITS AND OVERLOAD ON AC LINE 37 5.3 PROTECTION AGAINST SHORT-CIRCUITS AND OVERLOAD ON DC LINE 37 6 MAINTENANCE ..................................................38 6.1 P REAMBLE ..........................................................39 6.2 ROUTINE ENGINE MAINTENANCE .................................39 6.3 E NGINE OIL CHECK
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",2,maintenance_service,0.3729,"...............................................39 6.4 E NGINE OIL CHANGE ..............................................40 6.5 O IL FILTER ..........................................................40 6.6 REPLACING THE LINE FUEL FILTER .............................41 6.7 BLEEDING THE FUEL SYSTEM ....................................41 6.8 AIR FILTER ..........................................................41 6.9 DRAINING HTE COOLING SYSTEM ................................41 6.10 REPLACING THE ZINC ANODE ................................42 6.11 SEAWATER PUMP MAINTENANCE ..............................42 6.12 CHECKING / REPLACING THE V-BELT ......................42 6.13 CHECKING / REPLACING THE ALTERNATOR V-BELT .......43 6.14 ALTERNATOR MAINTENANCE ..................................43 6.15 BATTERY MAINTENANCE .......................................43 6.16 LIST OF RECCOMENDED SPARE PARTS .....................44 6.17 PERIODS OF INACTIVITY ......................................44 6.18 PERIOD CHECKS AND MAINTENANCE .......................45 6.19 ANOMALIES, CAUSES AND REMEDIES .......................47 6.20 HOW TO ORDER THE SPARE PARTS .........................47 WARRANTY AND LIABILITY ...............................48"
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",3,installation,0.75,"- 3 VS 22 LOW GB GB 1 PACKAGING, TRANSPORT, STORAGE, LIFTING AND HANDLING PACKAGING, TRANSPORT AND STORAGE Packaging Supplied directly by manufacturer. The weight and dimensions of the generator are indicated in the technical characteristics table (par.2.2), within this manual and on the adhesive applied to the packaging. Transport During transport, the generating set, (with or without packaging) must be protected from atmospheric agents, must be protected against any impact and must NOT be tilted or worse still upside down. Storage The generator must be stored in horizontal position and away from atmospheric agents and humidity. It is strictly prohibited to pollute the environment with the packaging. LIFTING AND HANDLING OF THE PACKED GENSET All the lifting operations must be carried out by personnel specialised in this type of work, such as truck drivers, crane drivers, slingers. Always check"
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",3,technical_specs,0.5714,that lifting device capacity and its accessories are adequate for the machine weight and size. Handling Move the genset by a forklift. Insert the forks under the wooden pallet if present or under the genset base. Place the forks under the base in order to distribute the genset weight at best. Move the genset on the flat by a pallet truck. See weight and size inside this guide. LIFTING Place the hook into the hole (ref.1) in order to lift the genset. Always take these precautions when lifting the genset: - Do not swing suspended loads. - Never leave the load unattended. - Low down the genset to the ground very slowly. - Always maintain the safety distance. The gravity centre of the generator corresponds to about the centre of its geometrical volume.
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",4,electrical_wiring,0.4167,"VS 22 LOW - 4 GB GB DEFINITIONS USED The terms used are current technical terms and, where considered necessary, the meaning is described below: - Genset An assembly of an internal combustion piston engine and an alternate current generator, joined together to create a station for self-production of electrical power. - User system Composed of the power supply circuits of the user equipment, including the relevant sectioning, handling, breaking, transformation, protection, etc. devices which do not form part of the production, transmission and distribution systems. - Category 1 electrical system A system where the rated voltage is higher than 50 Vac and lower than 1000 Vac. - Load A set of numerical values of electrical and mechanical magnitudes which characterise the requirements imposed on a rotary machine by an electrical circuit or by a mechanical device at a certain"
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",4,technical_specs,1.0,"instant. - Thermal switch Main cut-out and breaking device made up of a switch which opens automatically by thermal effect. - Differential switch Main cut-out and breaking device made up of a switch which opens automatically by differential effect. - Installer A person with knowledge, technical experience and authority to perform the duties delegated and authorized to report under applicable low. - Skilled person A person with technical know-how or sufficient experience to allow him to avoid the dangers inherent in electricity. - Specialised personnel A person able to evaluate the job assigned to him and recognise the possible dangers on the basis of training at the training centres, with professional experience and knowledge of the equipment in question and of the possible dangers deriving in the event of negligent behaviour. - Supplier Who (e.g. manufacturer, agent, installer) supplies equipment"
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",4,safety,1.0,or services related to the machine. - Adjustment Adjustment action by which a variable output of the controlled system (controlled variable) is affected by a variable input of the controlling system in order to achieve a certain goal. - Manual adjustment Adjustment where the change of an adjusted variable is produced by a person through manual intervention. - Automatic adjustment Adjustment where the change of adjusted variable is produced by an automatic regulator without human intervention. - Danger Source of possible harm or damage to health. - Protection Guard or protection device as safety measure to protect people from a present or potential danger. - Casing Part intended to assure protection of the equipment against specific outside influences and protection in every sense against contacts.
"43992 - VS22LOW_eng rev.2 - Use, Maintenance & Installation manual 1.pdf",5,spare_parts,0.5714,"- 5 VS 22 LOW GB GB - Connection in bad state The live parts are not fully covered with insulation removable by destruction only, the connections are not safe because of unstable tightening of the parts and development of oxide between the parts. - Direct contact Contact of people or animals with live parts. - Control circuit Circuit used to control machine operation. - Equipment General term which includes materials, devices, accessories and similar used in conjunction with an electrical installation."
